,Real values,Predicted values
17098,119000,15814.670845656365
41225,275000,215535.46375999105
12275,280000,264391.91101118014
22590,620000,494874.5854499703
44412,249000,233359.09772247646
27345,400000,613604.5529865162
50740,320000,552232.3987085517
34579,1195000,951746.5831126539
3025,749000,843521.0682829529
52013,265000,315237.96014024835
18967,275000,306227.67655048484
19350,379000,423296.13794769923
27966,135000,12183.522062039643
24189,599000,527527.5701654508
38969,269000,127574.23711646977
25822,560000,540138.0838551976
48923,275000,340610.9827408418
40152,245000,268421.69218478655
15934,109000,54160.740094995475
41872,394800,370858.4215994067
28960,398000,631246.7244589195
34682,329000,232537.81108215376
20463,497000,525216.8854523917
49262,850000,594767.8270068401
19722,1625000,1770847.2878516316
33148,849000,525479.0822262063
42924,325000,400772.16596484336
27540,585000,573059.7638621572
41867,295000,296733.6902967377
2007,599000,425375.99693654146
35697,339500,314431.14571235614
34886,134000,29007.32189200702
4831,195000,280588.12856011605
43896,215000,232036.53646954312
5187,799000,1038752.0058217321
24742,65000,-59620.39677611517
34691,1990000,1529590.3424745318
5775,399000,515156.7050378929
52391,495000,560707.104666199
3510,849000,750419.5655227622
42162,375000,281595.1303950418
20141,298000,269216.9381981905
7,289000,333464.53707486525
4986,260000,443361.99139665096
11873,185000,97706.81544031994
2689,395000,515881.7815331453
12270,280000,178755.78208175412
13599,395000,496364.988847082
23420,449000,590527.8249483992
27235,329000,395088.7529426302
22125,210000,164717.26194115367
7488,1675000,1392425.2131683202
10764,259000,250339.90101002017
31485,325000,247148.28508315008
11518,395000,381636.09931217413
21600,749000,822446.8069144648
23517,1385000,1194307.7269926395
15826,569000,712891.306301566
28997,415000,618836.2482777516
52138,399000,400747.7877863368
2764,649000,506557.0130428805
36821,1840000,780496.6836139997
32403,445000,667578.1948699616
32939,825000,995016.3414656853
49369,489000,442981.74819160585
15770,445000,530730.8261604351
38884,259000,243575.57202657955
32225,335000,288750.4060835971
50453,575000,534828.129667559
4191,350000,389280.27254401596
52093,320000,355941.03145498293
46054,217000,254976.31077993126
36546,299000,532428.575562176
1486,179000,124909.15195596585
21654,199000,168379.13937190827
30746,625000,549797.0366969528
22039,145000,211443.12274210833
5563,225000,233490.2415219104
5591,790000,976999.7322364374
49236,710000,661687.2703598819
45938,229000,290239.63004518877
374,199000,120377.42498120293
39268,235000,125184.56275960268
20107,145000,166347.03434505354
10076,230000,209921.72780863094
35283,475000,582226.9067859312
256,595000,442937.67341516097
50833,249000,533106.0998747309
51216,995000,888682.7893145152
4139,229000,281745.50694836455
43446,295000,465161.75701919297
13112,299000,510377.14790593926
47013,259000,300752.1330937355
1165,269000,253454.96032725228
45842,379000,314159.28314593935
24684,479000,665641.4387245296
